ID,RA,DEC,Kp,cadence,pm1,pm2,extent,comments
228683805,187.174499,-12.874736,16.751,30,,,,
228684813,187.480947,-12.655682,17.408,30,,,,
228685556,185.68292,-12.534371,14.861,30,,,,
228685686,189.738033,-12.515576,17.306,30,,,,
228686225,184.340191,-12.448496,15.565,30,,,,
228686318,184.288952,-12.439368,17.099,30,,,,
228687964,187.6627,-12.256515,17.35,30,,,,
228688383,187.528131,-12.215723,16.245,30,,,,
228693220,187.448706,-11.839617,16.664,30,,,,
228693704,188.057256,-11.807246,17.434,30,,,,
228694318,190.34399,-11.761474,17.1,30,,,,
228694754,190.932377,-11.728762,16.93,30,,,,
228698310,186.822305,-11.500917,16.87,30,,,,
228698655,190.673162,-11.480176,15.938,30,,,,
228699005,185.388176,-11.459914,15.727,30,,,,
228700922,183.074551,-11.345315,17.232,30,,,,
228703776,184.603641,-11.18377,17.403,30,,,,
228709816,186.01173,-10.867739,17.616,30,,,,
228712023,186.557157,-10.755884,16.806,30,,,,
228714714,191.088158,-10.618762,16.897,30,,,,
228716383,186.564622,-10.531852,16.928,30,,,,
228717033,184.400782,-10.499234,17.276,30,,,,
228717111,186.943538,-10.494985,16.327,30,,,,
228719931,190.944315,-10.3561,16.805,30,,,,
228722214,192.581291,-10.243277,16.515,30,,,,
228728984,180.985632,-9.914774,17.043,30,,,,
228729526,187.962392,-9.887688,17.267,30,,,,
228730056,188.249469,-9.862999,16.47,30,,,,
228730944,192.256662,-9.820664,15.149,30,,,,
228733109,181.38425,-9.71132,16.254,30,,,,
228733565,184.062572,-9.68856,17.039,30,,,,
228733810,184.692451,-9.677124,16.556,30,,,,
228734941,187.504663,-9.623604,16.134,30,,,,
228737277,193.882992,-9.510183,17.48,30,,,,
228738833,190.733856,-9.435721,16.606,30,,,,
228739024,193.255475,-9.427293,16.812,30,,,,
228740855,179.543391,-9.341642,17.464,30,,,,
228741366,180.393665,-9.317726,16.833,30,,,,
228742117,193.945474,-9.282257,16.379,30,,,,
228743718,182.373069,-9.209274,16.98,30,,,,
228744036,186.995735,-9.192821,16.889,30,,,,
228744931,191.656501,-9.151102,16.337,30,,,,
228745521,189.782202,-9.122795,16.682,30,,,,
228747213,193.426346,-9.046645,16.458,30,,,,
228748881,189.260277,-8.972897,16.92,30,,,,
228752960,191.604856,-8.79306,15.256,30,,,,
228754128,190.825292,-8.741042,16.884,30,,,,
228755025,185.911814,-8.700144,17.021,30,,,,
228755488,186.154945,-8.678821,15.954,30,,,,
228758537,185.190142,-8.54651,16.998,30,,,,
228761333,191.165352,-8.42152,16.928,30,,,,
228764570,184.80163,-8.281496,17.367,30,,,,
228764723,185.615972,-8.274965,15.868,30,,,,
228767177,183.584253,-8.167957,17.545,30,,,,
228768125,188.035023,-8.128114,17.244,30,,,,
228773866,190.397653,-7.882032,16.804,30,,,,
228775871,184.668612,-7.795943,17.366,30,,,,
228776499,184.144547,-7.772307,17.088,30,,,,
228778462,181.442369,-7.687263,16.238,30,,,,
228780657,188.128305,-7.588929,15.955,30,,,,
228784451,180.204858,-7.426103,15.067,30,,,,
228785491,186.510539,-7.383215,17.115,30,,,,
228786289,188.486232,-7.347858,17.083,30,,,,
228786851,190.61651,-7.32517,17.202,30,,,,
228788359,179.666198,-7.261102,17.596,30,,,,
228789037,189.702478,-7.234084,15.949,30,,,,
228791588,193.451165,-7.129165,16.366,30,,,,
228795374,184.343935,-6.978149,16.911,30,,,,
228796019,179.180847,-6.949635,16.707,30,,,,
228804207,188.793058,-6.602197,16.245,30,,,,
228804751,180.517511,-6.579872,16.312,30,,,,
228806837,179.499193,-6.494994,16.039,30,,,,
228807578,193.547184,-6.463617,16.603,30,,,,
228809240,194.911112,-6.391526,17.401,30,,,,
228813243,188.161847,-6.225459,16.799,30,,,,
228813927,189.307763,-6.194783,16.269,30,,,,
228813983,178.974285,-6.192945,16.388,30,,,,
228814993,184.858086,-6.153072,16.842,30,,,,
228817140,178.255227,-6.064975,14.83,30,,,,
228819281,178.730448,-5.975757,15.917,30,,,,
228819907,189.668686,-5.947101,17.396,30,,,,
228822414,178.605611,-5.838773,16.761,30,,,,
228823703,179.816984,-5.78789,16.268,30,,,,
228823785,190.576283,-5.785037,15.125,30,,,,
228824626,189.807512,-5.75119,15.278,30,,,,
228825304,185.368476,-5.723877,17.274,30,,,,
228825494,184.695248,-5.716391,17.458,30,,,,
228826826,183.847911,-5.661541,17.434,30,,,,
228827221,178.802539,-5.64416,15.796,30,,,,
228827302,182.935124,-5.640842,16.917,30,,,,
228828158,183.372024,-5.605549,17.022,30,,,,
228828484,187.652282,-5.590763,16.913,30,,,,
228830432,188.401982,-5.509171,16.041,30,,,,
228831064,179.76463,-5.485181,17.473,30,,,,
228833709,194.875915,-5.376494,16.576,30,,,,
228834877,179.790468,-5.324469,17.085,30,,,,
228836048,195.689123,-5.278443,16.72,30,,,,
228836252,189.662278,-5.270782,17.161,30,,,,
228836809,184.662866,-5.245771,16.02,30,,,,
228837117,190.576348,-5.232587,16.774,30,,,,
228837236,188.555214,-5.227622,16.869,30,,,,
228837617,182.559958,-5.212234,17.232,30,,,,
228838749,181.011523,-5.162077,15.18,30,,,,
228842325,183.299941,-5.015185,16.939,30,,,,
228843158,195.0368,-4.980198,15.276,30,,,,
228843471,178.986724,-4.967709,17.429,30,,,,
228847062,187.423505,-4.81499,17.147,30,,,,
228850191,188.150986,-4.684855,17.226,30,,,,
228853638,188.563658,-4.53845,17.013,30,,,,
228856878,185.291737,-4.399474,17.472,30,,,,
228858102,181.765233,-4.347565,17.243,30,,,,
228861319,180.236089,-4.213983,17.03,30,,,,
228870001,183.694714,-3.842479,15.871,30,,,,
228870669,183.955384,-3.81058,17.205,30,,,,
228882761,191.230409,-3.57231,17.26,30,,,,
228884161,189.12002,-3.549039,16.167,30,,,,
228884543,184.959259,-3.542459,16.578,30,,,,
228886793,192.375437,-3.505432,16.724,30,,,,
228891952,194.968765,-3.418434,16.365,30,,,,
228893822,192.280304,-3.384737,17.466,30,,,,
228897332,181.411708,-3.323115,17.077,30,,,,
228899280,182.07444,-3.288548,15.993,30,,,,
228905070,194.092584,-3.186408,17.465,30,,,,
228910918,187.785433,-3.087079,16.322,30,,,,
228912497,189.880404,-3.058031,16.932,30,,,,
228924533,194.593414,-2.846655,15.83,30,,,,
228929235,194.331465,-2.764026,16.588,30,,,,
228932642,181.814025,-2.702703,17.589,30,,,,
228934080,193.844966,-2.67769,16.104,30,,,,
228941660,187.203171,-2.540805,16.862,30,,,,
228944579,194.480485,-2.489092,16.601,30,,,,
228961113,187.857081,-2.196418,17.04,30,,,,
228966470,184.451416,-2.097433,17.302,30,,,,
228967824,179.719626,-2.073536,16.724,30,,,,
228968438,186.297895,-2.062116,15.234,30,,,,
228978538,184.084504,-1.876883,17.027,30,,,,
228979712,190.228272,-1.855514,17.183,30,,,,
228980212,185.61454,-1.846457,17.634,30,,,,
228985433,192.295762,-1.752713,15.235,30,,,,
228987998,191.93595,-1.706429,17.538,30,,,,
229006253,193.724709,-1.379858,17.385,30,,,,
229007939,194.574358,-1.349626,16.258,30,,,,
229007960,194.586584,-1.349229,15.43,30,,,,
229024655,190.407201,-1.00507,16.612,30,,,,
229024686,194.09002,-1.004441,16.608,30,,,,
229026314,186.307504,-0.965855,16.477,30,,,,
229027433,179.452482,-0.939435,16.583,30,,,,
229035565,193.935714,-0.758417,16.679,30,,,,
229036458,189.848315,-0.739574,16.48,30,,,,
229039728,183.178966,-0.665924,15.795,30,,,,
229043198,192.013921,-0.586113,17.277,30,,,,
229049114,192.24418,-0.450763,16.449,30,,,,
229049336,181.943959,-0.445439,17.506,30,,,,
229050405,194.63642,-0.421262,18.034,30,,,,
229052691,191.718213,-0.371433,16.979,30,,,,
229053096,186.831907,-0.363571,17.083,30,,,,
229054546,194.393467,-0.331929,17.656,30,,,,
229055602,179.949145,-0.310662,16.032,30,,,,
229057970,191.664476,-0.259572,16.585,30,,,,
229059908,181.467352,-0.215705,16.592,30,,,,
229062537,187.908407,-0.152221,16.064,30,,,,
229067969,184.343384,-0.020695,15.319,30,,,,
229070711,189.868717,0.045794,16.714,30,,,,
229071664,182.32753,0.067674,16.504,30,,,,
229073041,184.026494,0.09865,15.933,30,,,,
229074387,190.305266,0.130378,15.792,30,,,,
229080150,186.76434,0.273642,16.456,30,,,,
229080456,182.159772,0.282874,16.868,30,,,,
229082503,194.435738,0.336414,16.747,30,,,,
229083707,185.851498,0.366902,16.617,30,,,,
229088675,189.170377,0.487754,17.299,30,,,,
229090624,182.09293,0.534804,16.804,30,,,,
229095251,189.785303,0.651068,15.224,30,,,,
229096699,192.029398,0.68972,17.195,30,,,,
229099495,189.609046,0.763755,17.293,30,,,,
229107655,193.340955,0.973503,17.411,30,,,,
229114639,187.082841,1.159037,15.187,30,,,,
229125592,182.114714,1.421473,16.577,30,,,,
229126059,191.975286,1.432296,16.897,30,,,,
229132948,186.772685,1.595853,17.037,30,,,,
229134379,187.787251,1.627934,17.425,30,,,,
229136269,189.671973,1.672892,15.428,30,,,,
229136586,180.258881,1.680414,17.063,30,,,,
229139939,185.099988,1.758316,16.953,30,,,,
229140239,185.804471,1.764844,16.883,30,,,,
229141930,190.182218,1.806038,17.102,30,,,,
229145351,187.648318,1.88749,16.986,30,,,,
229145678,186.129796,1.895498,17.09,30,,,,
229164817,191.273431,2.395236,17.235,30,,,,
229170488,184.03079,2.55174,17.082,30,,,,
229172845,188.13759,2.617191,16.655,30,,,,
229184001,192.425971,2.951471,15.696,30,,,,
229184090,181.507677,2.954086,17.543,30,,,,
229193514,191.677436,3.259747,15.041,30,,,,
229198994,183.381792,3.452956,16.713,30,,,,
229207475,183.646335,3.766764,15.048,30,,,,
229210019,189.628743,3.864678,16.541,30,,,,
229212946,183.168348,3.98979,16.03,30,,,,
229216813,185.217704,4.179939,17.364,30,,,,
229220168,188.303989,4.35217,16.78,30,,,,
229220718,187.180592,4.384717,15.964,30,,,,
229221195,183.679591,4.417629,15.954,30,,,,
